Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2021
I,3.893981384947,2.777811072928,5.224264846652,2.926,5.053582927441,3.278699040197,3.361272760126,3.688156420568,7.539894360101,4.04478416002,5.9031270087,1.692,4.245824303356,4.033957707148,6.5519765734,2.78935706141,2.442113807438,2.863465428812,4.874936798406,1.585648687058,3.861453840511,6.114690601341,8.426599378184,3.502988152475,2.619646475576,4.766549255057,6.353929178469,3.877941280926,5.691190959253,2.857212051294,2.819866836225,3.702236901385
II,3.929405098652,2.384480486616,4.531883394256,2.895,4.782883148799,3.298513518548,2.860393524177,3.50167946377,7.101889250457,4.519435266105,5.729780110048,1.51,2.004573669529,3.450283553496,6.184736906377,1.989959095845,2.548089163653,2.84943264657,4.693444274892,1.652048612096,3.970099619159,5.499438198188,6.397326041657,2.859529996643,2.632462867724,2.927014186922,5.797538787312,3.155798212785,5.275225944869,4.005809102995,2.724841634708,3.463977068887
III,4.321258540721,2.586922992697,3.798447714812,3.057,4.941234892191,2.782822842331,3.078927858662,2.893035385621,6.734910816699,4.072286808964,5.020966350448,1.594,2.849682980318,3.066380730876,5.566078862633,2.06825501887,2.123461112037,2.980497486993,4.372309449085,1.675630385518,3.900493838676,5.076622330361,4.520834446912,3.69410303784,2.602768310639,3.992594472871,6.049199439471,3.413135400989,5.21468744148,3.261319910396,2.240118282627,3.755214505698
IV,4.279174834006,2.161067081322,2.733872308972,2.956,4.901100062465,3.10162229831,3.459529613302,3.363312373816,6.106197710256,3.685141217401,4.146500986175,1.416,2.92313212895,3.060315978971,4.788945746046,2.4731712614,2.351521341199,2.728726132073,3.990000566558,1.492266077112,3.691748579468,5.354001828559,4.345826680776,3.396497451909,2.848409358654,3.667020113497,5.090252949215,3.583174960881,4.635132545381,3.325703156791,2.107290840214,3.08508994604
2022
I,3.827480419451,2.094406374145,3.004210175644,3.068,4.932335222894,2.848800098301,2.586942273051,2.438628695887,5.972959670773,3.501704867076,3.656222198013,1.604,2.325119427207,2.595524016777,5.388206024128,1.77754787244,2.254095486713,3.19045839492,4.186759451141,1.629317348505,3.46843781287,4.463703441056,3.084703301255,3.438598059773,2.851542194086,3.076263307573,5.167487479072,3.82345057097,4.27839618468,2.860819926701,2.099302127553,2.619752101811
II,3.820808698646,2.431342332987,2.79624068715,2.953,4.024381870391,2.637493968473,2.569645929848,2.393366308733,5.302947262253,3.231367209303,2.981675779499,1.489,2.386457538368,2.438861938026,4.272996586527,1.724970578011,2.126977325384,2.518860415982,3.701757253209,1.480927936076,3.016613385585,4.04639423822,2.930200245079,3.205796803304,3.02105583443,3.080346874497,5.561999150268,3.606362394391,3.97769176185,2.765686823704,1.808597931337,3.130129264006
III,3.791918591345,2.349577389228,2.558939375754,2.298,4.274165354789,2.486962349767,2.169452444818,2.333383645483,5.055093546634,3.154321108161,3.714275308213,1.719,2.278701241619,2.511203296711,4.585396916128,1.753269870028,2.059088797508,2.443543206129,3.834245323446,1.345422190838,2.548435655082,3.62884993586,2.823416766389,2.997923836001,2.95056224852,3.518532715583,4.960115605702,3.40174081222,3.564956737228,2.954792157887,1.949916271086,2.770677387447
IV,3.639923099392,2.822691056547,3.031893587908,1.976,3.440857067289,2.337819925709,2.394777196849,2.314860940238,4.714121962736,3.281912753395,3.250245789941,0.806,2.396207886426,2.321030478026,4.578473000548,1.616265179912,2.701352862243,2.465847197751,3.82068742331,1.265339611528,2.587254208347,3.386133363175,1.939165674275,2.714577052917,2.872959948463,2.55113802868,4.233109759667,3.141605141487,3.51715612507,2.362767859296,1.989999373254,2.656509166072
2023
I,3.305397957012,1.895060904148,2.869271527207,1.762,3.56898078252,2.207378561504,2.568842611191,2.636668962258,3.814862622112,2.928040549717,2.930541852883,1.797,2.594625284313,2.404061445985,3.417412538134,1.822366174379,1.763995719551,2.048649936772,3.102885708828,1.406852243534,2.466230375641,3.035722877217,2.614304345197,2.389726767139,2.17320788496,3.099782928272,4.204814713143,2.809720670516,3.180648803577,2.658446492512,1.876278381076,3.217334352003
II,3.245392667276,2.219417286748,2.753683159948,1.759,3.709321137863,2.261966337581,1.81678515906,2.424663039922,4.297354346943,2.863777695174,3.459771415879,0.949,2.496660025704,2.569970293092,3.707979116466,1.992459107629,1.814134193251,2.197006168669,3.38101746336,1.244519849154,2.319231366695,3.070874127659,2.452068144142,2.715723638336,2.285072765203,2.61195982014,3.910098322597,3.336261911008,3.501428177267,2.019103633111,1.744694355248,2.753958254545
III,2.992704505591,2.22721146401,2.855311190793,1.819,3.926749472915,2.441844647806,2.389547003489,2.647055941582,3.921511584366,2.996869437268,2.936530709849,1.15,2.561656941168,2.604726746772,3.817333051628,1.864410108156,1.992753452352,2.052292474575,3.032563030761,1.847670107517,2.45737248438,2.787108645862,2.644941359542,2.740509012323,2.662310857256,2.716250778593,3.678692354648,3.082836416912,3.466487164095,1.912395878376,1.978842947271,2.411484579914
IV,3.362952564097,2.327409872289,2.404782251361,1.715,4.327647676099,2.276830531257,1.765989573134,2.235497493597,4.059432926021,2.978843957049,3.22344561787,0.767,2.005023974838,2.162628684504,3.600178388583,2.026011655322,1.838502875199,2.114757879963,2.8721240302,1.533218499227,2.370710064829,2.732501850332,2.566814175569,3.059923710926,2.333073009043,2.802244469347,3.938799076179,3.272312006404,3.176738732065,1.915766015356,1.761757790109,3.105461960308
2024
I,3.295062537055,2.362755137373,2.309517848505,1.563,4.122824238282,2.191300291928,1.751082715917,2.134567128876,4.037689333591,2.988832890732,3.197240773703,1.17,2.208356778727,1.603599126811,3.715335004531,1.883616680951,1.895459169933,2.125741415015,2.767756578157,1.47362206089,2.017041144325,3.210803331467,2.260291504232,2.795072025005,2.031975404767,2.833123765336,3.780607851194,3.141471628137,3.103587263613,1.798636762912,1.586546958476,2.568723836543
